published,category,kicker,title,description,matched_groups,matched_terms,url,local_digest
2026-06-12,Physics,earth science,Where Did Earth Get Its Oceans? Maybe It Made Them Itself.,"At first, scientists thought Earth’s water came from comets. Then, asteroids. Now, they wonder if Earth’s water is homegrown.",flow_transport_waves,ocean,https://www.quantamagazine.org/where-did-earth-get-its-oceans-maybe-it-made-them-itself-20260612/,
2026-06-10,Biology,evolution,"An Early Step on the Long, Strange Road to Photosynthesis",An ancient lineage of cyanobacteria is helping biologists uncover an early evolutionary stage of the mind-boggling process that turns light into life.,collective_biological_systems,bacteria;evolution,https://www.quantamagazine.org/an-early-step-on-the-long-strange-road-to-photosynthesis-20260610/,
2026-06-04,Mathematics,The Joy of Why,"More Conversations, Complex Questions, and Bold Ideas in Season Five of ‘The Joy of Why’",The podcast returns with 12 all-new episodes that explore the biggest questions in basic science and mathematics.,complex_systems_emergence,complex,https://www.quantamagazine.org/more-conversations-complex-questions-and-bold-ideas-in-season-five-of-the-joy-of-why-20260604/,
2026-06-03,Physics,quantum gravity,Entanglement Builds Space-Time. Now “Magic” Gives It Gravity.,"In holographic theories, physicists may have traced the pliability of space-time to its quantum roots: a measure of quantumness known as “magic.”",networks_graphs_connectivity,graph,https://www.quantamagazine.org/entanglement-builds-space-time-now-magic-gives-it-gravity-20260603/,
2026-05-29,Physics,chemistry,"Key Chemistry Question Answered, No Quantum Computer Required","Do we need quantum computers to fully understand complex chemical reactions? A new result, decades in the making, shows the surprising power of ordinary “classical” machines.",complex_systems_emergence,complex,https://www.quantamagazine.org/key-chemistry-question-answered-no-quantum-computer-required-20260529/,
2026-05-26,Physics,geophysics,When Quiet Undersea Volcanoes Turn Disruptive,"Earth’s largest volcanic system, hidden in mountain chains under the sea, has long been assumed to erupt only quietly. The shallow seafloor off Iceland tells another story.",flow_transport_waves,geophysics;volcano,https://www.quantamagazine.org/when-quiet-undersea-volcanoes-turn-disruptive-20260526/,
2026-05-21,Biology,genomics,How Ecotypes Harbor the Genetic Memory of a Species’ Past,"Evolutionary biologists are uncovering genomic mechanisms that allow populations to adapt quickly to different, hyperlocal habitats without splitting into new species.",collective_biological_systems;human_social_mobility_proxy,evolution;population,https://www.quantamagazine.org/how-ecotypes-harbor-the-genetic-memory-of-a-species-past-20260521/,
2026-05-20,Mathematics,explainers,How Alexander Grothendieck Revolutionized 20th-Century Mathematics,"Grothendieck is revered in the world of math; outside of it, he’s known for his unusual life, if he’s known at all. But what were his actual mathematical contributions?",collective_biological_systems,evolution,https://www.quantamagazine.org/how-alexander-grothendieck-revolutionized-20th-century-mathematics-20260520/,
2026-05-13,Biology,physiology,How the Bird Eye Was Pushed to an Evolutionary Extreme,"The bird retina is one of the most energetically expensive tissues in the animal kingdom, yet it doesn’t use the energy advantage of oxygen. New research finally explains how this is possible.",collective_biological_systems,evolution,https://www.quantamagazine.org/how-the-bird-eye-was-pushed-to-an-evolutionary-extreme-20260513/,
2026-05-11,Computer Science,cryptography,How Unknowable Math Can Help Hide Secrets,A graduate student recently harnessed the complexity of mathematical proofs to create a powerful new tool in cryptography.,networks_graphs_connectivity;complex_systems_emergence,complex;complexity;graph,https://www.quantamagazine.org/how-unknowable-math-can-help-hide-secrets-20260511/,
